Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_42,Turno_B,3,12,3,12,0,12,12,0,0,934414
Categoria_67,Turno_A,3,13,1,73,0,73,0,0,0,713550
Categoria_23,Turno_B,3,13,3,24,0,24,4,0,0,298998
Categoria_53,Turno_A,3,13,6,20,0,20,2,0,0,860937
Categoria_65,Turno_A,2,9,3,39,19,20,20,0,0,501234
Categoria_48,Turno_B,3,12,1,15,0,15,15,0,0,311648
Categoria_15,Turno_B,3,13,2,12,0,12,0,0,0,482525
Categoria_01,Turno_A,3,11,3,10,0,10,10,0,0,557707
Categoria_32,Turno_A,3,12,4,6,0,6,0,0,0,224020
Categoria_08,Turno_B,3,13,1,27,0,27,1,0,0,310804
Categoria_40,Turno_B,3,13,1,17,0,17,0,0,0,149182
Categoria_36,Turno_A,2,9,2,15,15,0,0,0,0,499570
Categoria_40,Turno_B,3,10,3,8,0,8,0,0,0,149182
Categoria_05,Turno_A,2,9,2,9,9,0,0,0,0,168338
Categoria_29,Turno_A,3,10,5,6,0,6,5,0,0,228969
Categoria_51,Turno_A,3,13,5,45,0,45,0,0,0,657972
Categoria_07,Turno_A,3,12,4,8,0,8,2,0,0,927710
Categoria_61,Turno_A,3,13,2,17,0,17,0,0,0,144633
Categoria_37,Turno_A,3,12,5,15,0,15,5,0,0,294806
Categoria_64,Turno_B,3,12,4,18,0,18,0,0,0,386896
Categoria_17,Turno_B,3,12,2,3,0,3,0,0,0,312918
Categoria_53,Turno_B,3,10,2,18,0,18,18,0,0,860937
Categoria_47,Turno_A,3,10,4,21,0,21,2,0,0,831654
Categoria_43,Turno_B,3,12,3,8,0,8,0,0,0,129176
Categoria_05,Turno_B,3,12,2,3,0,3,0,0,0,168338
Categoria_33,Turno_A,2,9,3,9,0,9,0,0,0,298998
Categoria_17,Turno_C,3,12,4,8,0,8,0,0,0,312918
Categoria_14,Turno_A,2,9,3,15,0,15,11,0,0,658663
Categoria_12,Turno_B,3,12,1,68,0,68,4,0,0,848688
Categoria_60,Turno_A,3,10,4,56,0,56,0,0,0,40535
Categoria_57,Turno_A,3,11,4,6,0,6,0,0,0,978140
Categoria_56,Turno_A,3,13,5,9,0,9,3,0,0,283109
Categoria_04,Turno_A,3,10,3,3,0,3,0,0,0,298998
Categoria_65,Turno_A,3,13,5,66,0,66,1,0,0,501234
Categoria_36,Turno_B,3,13,3,18,0,18,0,0,0,499570
Categoria_62,Turno_A,3,10,2,21,0,21,3,0,0,611661
Categoria_34,Turno_B,3,12,3,36,0,36,0,0,0,904498
Categoria_07,Turno_B,3,12,1,13,4,9,0,0,0,927710
Categoria_21,Turno_A,2,9,4,15,15,0,0,0,0,466551
Categoria_34,Turno_A,3,13,6,24,0,24,1,0,0,904498
Categoria_40,Turno_A,2,9,5,21,0,21,4,0,0,149182
Categoria_43,Turno_B,2,9,3,8,0,8,8,0,0,129176
Categoria_61,Turno_A,3,12,1,22,0,22,5,0,0,144633
Categoria_20,Turno_A,3,11,5,18,18,0,0,0,0,804824
Categoria_54,Turno_B,3,14,2,10,0,10,3,0,0,130151
Categoria_07,Turno_A,2,9,4,8,0,8,8,0,0,927710
Categoria_65,Turno_B,3,12,3,68,0,68,0,0,0,501234
Categoria_64,Turno_B,2,9,1,36,16,20,7,0,0,386896
Categoria_64,Turno_B,3,14,2,34,0,34,0,0,0,386896
Categoria_30,Turno_B,2,9,4,6,0,6,2,0,0,298998
Categoria_67,Turno_B,3,14,1,22,0,22,0,0,0,713550
